episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,4,11264,1024,11264,False,0,11,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-11,1648132331,2.588761806488037,31.230512142181396,58096,AORUS,192.168.1.21,31.230512142181396,11264,11,[],[],2610.935,392.197,0.692,1478881.377,586.885,1744.805,1.246,11264,11264,11264,1024,11264,8.233333333333333,22.899999999999995,0.4500000000000001,0.0003,338.31428104639053,-0.020506374072283506,338.3325520455837,0.48089636443182826,0.010983447506191624,2.7042079251259565,0.0010000000000000005
nan,nan,nan,nan,0,4,12288,1024,12288,False,0,12,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-14,1648132334,2.598994493484497,33.829506635665894,58096,AORUS,192.168.1.21,33.829506635665894,12288,12,[],[],2608.243,392.601,0.695,1473301.076,590.016,1735.547,1.18,12288,12288,12288,1024,12288,7.925,22.95,0.4500000000000001,0.0003,615.3306760787964,-0.01711969153257087,615.3437865972519,0.4862716244533658,0.014530242154762667,2.5386790335178375,0.0010000000000000005
nan,nan,nan,nan,0,4,13312,1024,13312,False,0,13,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-16,1648132336,2.573654890060425,36.40316152572632,58096,AORUS,192.168.1.21,36.40316152572632,13312,13,[],[],2611.252,392.149,0.695,1472442.42,582.501,1757.938,1.134,13312,13312,13312,1024,13312,8.2,22.950000000000003,0.4500000000000001,0.0003,494.26353645324707,-0.02439608782879077,494.28467857837677,0.589544587302953,0.012795851634109606,2.501117903739214,0.0010000000000000005
nan,nan,nan,nan,0,4,14336,1024,14336,False,0,14,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-19,1648132339,2.584338665008545,38.98750019073486,58096,AORUS,192.168.1.21,38.98750019073486,14336,14,[],[],2603.593,393.303,0.684,1497025.896,583.878,1753.791,1.134,14336,14336,14336,1024,14336,6.866666666666667,22.833333333333332,0.4500000000000001,0.0003,396.04946184158325,-0.01900105067761615,396.0653703212738,0.638419549446553,0.01254820386566284,2.555682774633169,0.0010000000000000005
nan,nan,nan,nan,0,4,15360,1024,15360,False,0,15,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-22,1648132342,2.572239637374878,41.55973982810974,58096,AORUS,192.168.1.21,41.55973982810974,15360,15,[],[],2605.187,393.062,0.686,1492655.625,583.264,1755.637,1.129,15360,15360,15360,1024,15360,8.575,22.85,0.4500000000000001,0.0003,393.8160328865051,-0.020451170130399987,393.83413076400757,0.6630896097049117,0.010752009383395536,2.483973616734147,0.0010000000000000005
nan,nan,nan,nan,0,4,16384,1024,16384,False,0,16,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-26,1648132346,4.741259574890137,46.30099940299988,58096,AORUS,192.168.1.21,46.30099940299988,16384,16,[],[],2817.735,363.412,0.67,1527479.656,585.341,1749.406,1.14,16384,16384,16384,1024,16384,7.771428571428571,22.814285714285717,0.4500000000000001,0.0003,287.77435421943665,-0.02221797520905966,287.79266262054443,0.751697848085314,0.014046773860172885,2.4077805168926716,0.0010000000000000005
nan,nan,nan,nan,0,4,17408,1024,17408,False,0,17,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-29,1648132349,2.5849647521972656,48.885964155197144,58096,AORUS,192.168.1.21,48.885964155197144,17408,17,[],[],2820.289,363.083,0.685,1495358.017,584.064,1753.233,1.172,17408,17408,17408,1024,17408,9.475,22.9,0.4500000000000001,0.0003,270.59311878681183,-0.014603213909140322,270.6046122312546,0.7414621394127607,0.012198168133181753,2.3760790955275297,0.0010000000000000005
nan,nan,nan,nan,0,4,18432,1024,18432,False,0,18,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-32,1648132352,2.659663677215576,51.54562783241272,58096,AORUS,192.168.1.21,51.54562783241272,18432,18,[],[],2820.251,363.088,0.693,1476999.655,587.27,1743.661,1.181,18432,18432,18432,1024,18432,7.433333333333334,22.899999999999995,0.4500000000000001,0.0003,314.25922334194183,-0.01834520581178367,314.27334010601044,0.7214929154142737,0.014660208493296523,2.36937702447176,0.0010000000000000005
nan,nan,nan,nan,0,4,19456,1024,19456,False,0,19,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-34,1648132354,2.5908401012420654,54.136467933654785,58096,AORUS,192.168.1.21,54.136467933654785,19456,19,[],[],2823.327,362.693,0.696,1470526.687,585.753,1748.177,1.193,19456,19456,19456,1024,19456,6.925000000000001,22.9,0.4500000000000001,0.0003,213.53447902202606,-0.015595925622619689,213.54493236541748,0.8069144850596786,0.016514575938344933,2.289003958925605,0.0010000000000000005
nan,nan,nan,nan,0,4,20480,1024,20480,False,0,20,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-37,1648132357,2.58168363571167,56.718151569366455,58096,AORUS,192.168.1.21,56.718151569366455,20480,20,[],[],2821.398,362.941,0.74,1384089.232,582.903,1756.725,1.207,20480,20480,20480,1024,20480,6.699999999999999,22.9,0.4500000000000001,0.0003,198.39787566661835,-0.01926910862675868,198.41140747070312,0.8207032158970833,0.017848516477897647,2.294813586398959,0.0010000000000000005
